 Agency Code, Station number,Site, Begin date,Day,Month,Year, Begin time, End date, End time, Time datum, Time datum reliability code, Medium code, Taxonomic unit code, Body part code," Stream width, feet"," Temperature, water, degrees Celsius"," Temperature, air, degrees Celsius"," Temperature, air, degrees Fahrenheit"," Barometric pressure, millimeters of mercury"," Weather, World Meteorological Organization (WMO) code"," Discharge, cubic feet per second"," Discharge, instantaneous, cubic feet per second"," Number of sampling points, count"," Gage height, feet"," Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"," Hydrogen ion, water, unfiltered, calculated, milligrams per liter"," pH, water, unfiltered, field, standard units"," pH, water, unfiltered, laboratory, standard units"," Hardness, water, milligrams per liter as calcium carbonate"," Calcium, water, filtered, milligrams per liter"," Magnesium, water, filtered, milligrams per liter"," Arsenic, water, filtered, micrograms per liter"," Arsenic, water, unfiltered, micrograms per liter"," Cadmium, water, filtered, micrograms per liter"," Cadmium, water, unfiltered, micrograms per liter"," Copper, water, filtered, micrograms per liter"," Copper, water, unfiltered, recoverable, micrograms per liter"," Iron, water, unfiltered, recoverable, micrograms per liter"," Iron, water, filtered, micrograms per liter"," Lead, water, filtered, micrograms per liter"," Lead, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, filtered, micrograms per liter"," Zinc, water, filtered, micrograms per liter"," Zinc, water, unfiltered, recoverable, micrograms per liter"," Gage height, above datum, meters"," Discharge, cubic meters per second"," Discharge, instantaneous, cubic meters per second"," Transit rate, sampler, minimum, feet per second"," Transit rate, sampler, feet per second"," Transit rate, sampler, maximum, feet per second"," Site visit purpose, code"," Turbidity, water, unfiltered, monochrome near infra"," Suspended sediment, sieve diameter, percent smaller than 0.0625 millimeters"," Sample purpose, code"," Sample location, distance downstream, feet"," Sample location, distance upstream, feet"," Sampler nozzle material, code"," Sampler nozzle diameter, code"," Suspended sediment concentration, milligrams per liter"," Suspended sediment discharge, short tons per day"," Velocity at point in stream, feet per second"," Sampling method, code"," Sampler type, code"," Sample splitter type, field, code"," Bottle or bag sampler material (construction), code"," Specific conductance, water, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius"," Suspended sediment, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, smaller than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, larger than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, between 0.063 and 4 mm sieve diameter, sediment mass analyzed for particle size fractions, dry weight, grams"," Type of replicate, code"," Type of quality assurance data associated with sample, code"," Sulfuric acid NWIS lot number, 4.5 N (1:7), 1 mL, National Field Supply Service (NFSS) stock number Q438FLD"," Nitric acid NWIS lot number, 7.5"," Conductance standard NWIS lot number, 50 uS/cm KCl, National Field Supply Service (NFSS) stock number Q42FLD"," Conductance standard NWIS lot number, 100 uS/cm KCl, National Field Supply Service (NFSS) stock number Q43FLD"," Conductance standard NWIS lot number, 500 uS/cm KCl, National Field Supply Service (NFSS) stock number Q45FLD"," Conductance standard NWIS lot number, 750 uS/cm KCl, National Field Supply Service (NFSS) stock number Q46FLD"," Conductance standard NWIS lot number, 1000 uS/cm KCl, National Field Supply Service (NFSS) stock number Q47FLD"," pH 10 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q122FLD, Q123FLD"," pH 4 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q124FLD, Q125FLD"," pH 7 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q126FLD, Q127FLD"," Lot number, first, inorganic"," NWIS lot number, capsule filter, 0.45 micron"," NWIS lot number, disk filter, 0.45 micron"," Julian date, in"
USGS,12324400,GR,6/19/2012,19,6,2012,13:30,,,MDT,K,WS,,,,12,14,,,,,519,,4.03,301,0.00001,8.3,8.2,131,37.9,8.88,11.5,13.7,0.059,0.151,7.9,32.9,468,17.6,0.151,3.74,60.1,20.3,4.4,25.2,1.23,,15,,,,,,68,,,,,,20,28,,20,3054,,,301,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,7/17/2012,17,7,2012,14:50,,,MDT,K,WS,,,,21,29,,,,,189,,3.04,449, ,8.5,8.4,205,60,13.4,21.9,20.9,0.07,0.087,10.9,17.2,114,17.6,0.126,1.05,39.8,13.5,2.6,9,0.93,,5.4,,,,,,79,,,,,,5,2.6,,10,3044,,,441,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,7/26/2012,26,7,2012,14:14,,,MDT,K,WS,,,,20.9,27.2,,,,,127,,2.66,456,,,,,,,,,,,,,,,,,,,,,0.81,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,8/6/2012,6,8,2012,11:32,,,MDT,K,WS,,,,18.5,25.4,,,,,102,,2.55,463,,,,,,,,,,,,,,,,,,,,,0.78,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,8/14/2012,14,8,2012,13:30,,,MDT,K,WS,,,,19,29,,,,,99,,2.55,474, ,8.5,8.4,206,59.6,14,17.9,17.4,0.039,0.061,7.7,14.4,111,9.8,0.096,1.02,59.8,21.6,1.9,8,0.78,,2.8,,,,,,79,,,,,,7,1.9,,10,3044,,,469,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,10/12/2012,12,10,2012,13:55,,,MDT,K,WS,,,,9.5,21.3,,,,,204,,3.01,,,,,,,,,,,,,,,,,,,,,,0.92,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,10/12/2012,12,10,2012,13:57,,,MDT,K,WS,,,,9.5,21.3,,,,,204,,3.01,522,,,,,,,,,,,,,,,,,,,,,0.92,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,11/14/2012,14,11,2012,14:20,,,MST,K,WS,,,,2,4,,,,,249,,3.2,484, ,8.4,8.3,227,66.5,14.7,10.8,12.5,0.035,0.143,4.2,26.9,460,23,0.113,3.26,104,27.2,5.5,25.6,0.98,,7.1,,,,,,75,,,,,,23,15,,10,3044,,,475,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,11/20/2012,20,11,2012,11:00,,,MST,K,WS,,,,4,9.5,,,,,268,,3.3,,,,,,,,,,,,,,,,,,,,,,1.01,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,1/9/2013,9,1,2013,9:15,,,MST,K,WS,,,,0,3.5,,,,,229,,3.24,,,,,,,,,,,,,,,,,,,,,,0.99,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,3/6/2013,6,3,2013,14:30,,,MST,K,WS,,,,4,9,,,,,228,,3.1,,,,,,,,,,,,,,,,,,,,,,0.94,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,3/13/2013,13,3,2013,14:40,,,MDT,K,WS,,,,6,16,,,,,255,,3.2,488, ,8.6,8.3,219,63,15.1,9.3,10.9,0.066,0.136,5.7,24.5,363,8.2,0.094,2.54,84.5,46.8,3.8,21.4,0.98,,7.2,,,,,,75,,,,,,18,12,,10,3044,,,479,,,,,30,30,,,,,,,,,,,,,,
USGS,12324400,GR,4/9/2013,9,4,2013,14:50,,,MDT,K,WS,,,,5,6,,,,,226,,3.13,494, ,8.6,8.4,218,63.1,14.7,9.6,12.1,0.058,0.139,6,25.5,383,9.2,0.068,3.02,104,50.9,3.1,21.9,0.95,,6.4,,,,,,84,,,,,,17,10,,10,3044,,,489,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,4/26/2013,26,4,2013,12:15,,,MDT,K,WS,,,,11.5,17.5,,,,,188,,2.98,,,,,,,,,,,,,,,,,,,,,,0.91,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/4/2013,4,6,2013,12:45,,,MDT,K,WS,,,,13.5,14,,,,,310,,3.41,,,,,,,,,,,,,,,,,,,,,,1.04,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/4/2013,4,6,2013,14:35,,,MDT,K,WS,,,,14,14.5,,,,,303,,3.4,468, ,8.4,8.2,200,55.9,14.6,17.1,21.5,0.051,0.261,7.9,51.8,815,22.4,0.247,6.43,138,30.6,4.8,44.5,1.04,,8.6,,,,,,81,,,,,,37,30,,10,3044,,,456,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/18/2013,18,6,2013,14:40,,,MDT,K,WS,,,,19,27,,,,,208,,3.08,434, ,8.6,8.4,195,55.2,13.8,18.4,19.4,0.045,0.118,7.3,20.9,215,13.5,0.135,2.02,76.3,41.4,2.1,14.8,0.94,,5.9,,,,,,90,,,,,,9,5.1,,10,3044,,,429,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,7/16/2013,16,7,2013,11:40,,,MDT,K,WS,,,,17,28,,,,,110,,2.65,481, ,8.6,8.4,215,61.5,14.9,16.2,17.4,0.03,0.027,7.1,10.2,46.1,10,0.135,0.39,19.7,12.3,4.9,3,0.81,,3.1,,,,,,90,,,,,,17,5,,10,3044,,,484,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,7/23/2013,23,7,2013,12:15,,,MDT,K,WS,,,,19.5,31,,,,,91,,2.54,,,,,,,,,,,,,,,,,,,,,,0.77,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,7/29/2013,29,7,2013,15:00,,,MDT,K,WS,,,,22.4,27,,,,,62,,2.34,,,,,,,,,,,,,,,,,,,,,,0.71,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,8/13/2013,13,8,2013,12:15,,,MDT,K,WS,,,,17,27,,,,,71,,2.44,499, ,8.5,8.4,217,61.8,15.2,16.1,15.2,0.024,0.034,6.2,10,66.9,9.2,0.113,0.57,36.6,19.9,2.3,4.6,0.74,,2,,,,,,81,,,,,,4,0.77,,10,3044,,,495,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,8/26/2013,26,8,2013,11:03,,,MDT,K,WS,,,,17.1,30,,,,,60,,2.37,,,,,,,,,,,,,,,,,,,,,,0.72,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,11/6/2013,6,11,2013,9:55,,,MST,K,WS,,,,1.5,3,,,,,233,,3.18,520,0.00001,8.2,8.2,225,65.5,14.9,7.8,10.5,0.032,0.12,2.8,17.7,278,5.5,0.04,2.14,78.1,34.8,6.1,19.5,0.97,,6.6,,,,,,82,,,,,,16,10,,10,3044,,,503,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,3/25/2014,25,3,2014,15:25,,,MDT,K,WS,,,,6.5,16,,,,,233,,3.21,527,0.00001,8.2,8.1,228,66.3,15,12.2,17.9,0.062,0.283,6.2,58.9,919,15.1,0.172,7.94,149,65.1,9.2,51.7,0.98,,6.6,,,,,,81,,,,,,37,23,,10,3044,,,500,,,,,30,30,,,,,,,,,,,,,,
USGS,12324400,GR,4/22/2014,22,4,2014,15:50,,,MDT,K,WS,,,,10,6,,,,,306,,3.38,482, ,8.5,8.1,209,61.1,13.7,13.2,16.7,0.052,0.23,6.2,46.4,738,5.8,0.104,5.96,136,35.8,3.2,42.3,1.03,,8.7,,,,,,71,,,,,,36,30,,10,3044,,,469,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,5/13/2014,13,5,2014,17:00,,,MDT,K,WS,,,,13,17,,,,,374,,3.56,420, ,8.9,8.6,185,54.4,12.1,15.2,18.6,0.053,0.155,7.4,34.6,541,11.2,0.11,4.17,82.4,21,2.6,28.7,1.09,,11,,,,,,76,,,,,,21,21,,10,3044,,,416,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,5/28/2014,28,5,2014,17:10,,,MDT,K,WS,,,,15,22,,,,,826,,4.65,270,0.00001,8,7.9,113,33.7,6.92,14.3,35.1,0.071,0.644,14.1,167,2750,36,0.478,23.2,252,22.3,7.8,130,1.42,,23,,,,,,70,,,,,,125,279,,20,3054,,,257,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/10/2014,10,6,2014,16:15,,,MDT,K,WS,,,,17,21,,,,,461,,3.85,324, ,8.4,8.2,144,42.2,9.29,15.2,22.2,0.069,0.248,10.1,54.7,797,19.1,0.216,6.82,102,20.3,5,40.9,1.17,,13,,,,,,72,,,,,,32,40,,20,3054,,,317,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,7/15/2014,15,7,2014,16:20,,,MDT,K,WS,,,,21,23,,,,,228,,3.11,380, ,8.8,8.7,172,50.5,11.3,19.6,19.8,0.066,0.076,8.9,16.6,127,20.9,0.208,1.21,45.7,31,3.2,8.8,0.95,,6.5,,,,,,88,,,,,,3,1.8,,10,3044,,,381,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,8/12/2014,12,8,2014,15:20,,,MDT,K,WS,,,,21,27,,,,,115,,2.59,451, ,8.5,8.4,201,58.4,13.3,17.3,17.8,0.042,0.047,7.2,11.1,58.4,9.5,0.076,0.55,29.6,14.8,2.3,5.4,0.79,,3.3,,,,,,92,,,,,,1,0.31,,10,3044,,,429,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,10/15/2014,15,10,2014,15:00,,,MDT,K,WS,,,,10,19,,,,,260,,3.24,502, ,8.5,8.3,222,63.6,15.5,12.2,15.1,0.051,0.096,4.7,19.4,249,5.6,0.1,2.21,79.8,24,3.5,15.9,0.99,,7.4,,,,,,86,,,,,,9,6.3,,10,3044,,,510,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,3/24/2015,24,3,2015,14:35,,,MDT,K,WS,,,,5,4,,,,,306,,3.4,443, ,8.5,8.2,202,58.8,13.3,9.5,15.4,0.066,0.195,6.8,46.5,809,36.3,0.326,5.71,112,30.8,6.2,38.7,1.04,,8.7,,,,,,76,,,,,,31,26,,10,3044,,,441,,,,,30,30,,4181060,,,,,,,,,,8372,,
USGS,12324400,GR,4/21/2015,21,4,2015,14:50,,,MDT,K,WS,,,,13,21,,,,,274,,3.27,473, ,8.4,8.2,209,61,13.8,11.8,15.2,0.072,0.16,8.2,36.1,541,13.3,0.171,4,92.2,22.4,4.2,29,1,,7.8,,,,,,83,,,,,,21,16,,10,3044,,,464,,,,,,,,4181060,,,,,,,,,,1395,,
USGS,12324400,GR,5/12/2015,12,5,2015,16:45,,,MDT,K,WS,,,,15,12,,,,,213,,3.04,392, ,8.6,8.3,171,49.3,11.6,13.8,16.3,0.064,0.13,7.9,28.4,407,21.7,0.188,3.16,71.3,28.8,3.3,22,0.93,,6,,,,,,86,,,,,,18,10,,10,3044,,,387,,,,,,,,4276040,,,,,,,,,,1395,,
USGS,12324400,GR,5/28/2015,28,5,2015,13:20,,,MDT,K,WS,,,,14,14,,,,,564,,4.06,357,0.00001,8.1,8,163,48.2,10.3,15.8,30.5,0.072,0.47,11.6,127,2150,27.2,0.351,17,190,15.7,6.5,104,1.24,,16,,,,,,59,,,,,,97,148,,20,3054,,,349,,,,,,,,4276040,,,,,,,,,,1395,,
USGS,12324400,GR,6/9/2015,9,6,2015,14:35,,,MDT,K,WS,,,,20,33,,,,,473,,3.85,321,0.00001,8.2,8,143,42.5,8.93,18.7,29,0.084,0.34,14.4,89.2,1260,64.4,0.715,9.97,126,23.3,6.7,67,1.17,,13,,,,,,61,,,,,,51,65,,20,3054,,,317,,,,,,,,5134050,,,,,,,,,,2194,,
USGS,12324400,GR,7/14/2015,14,7,2015,16:10,,,MDT,K,WS,,,,22,26,,,,,122,,2.74,430, ,8.7,8.6,189,54.1,13.1,17.2,18.5,0.05,0.04,8.1,10.8,57.3,60.2,0.086,0.43,13.4,8.56,2,5,0.84,,3.5,,,,,,89,,,,,,3,0.99,,10,3044,,,425,,,,,,,5138020,5134050,,,,,,,,,,2194,,
USGS,12324400,GR,8/11/2015,11,8,2015,15:10,,,MDT,K,WS,,,,21.5,29.5,,,,,69,,2.39,483, ,8.5,8.4,206,58.8,14.4,16.1,16.4,0.03,0.04,9.2,11.3,40.7,7,0.057,0.33,24.3,12,2,3,0.73,,2,,,,,,73,,,,,,5,0.93,,10,3044,,,468,,,,,,,,5134050,,,,,,,,,,2194,,
USGS,12324400,GR,10/20/2015,20,10,2015,14:35,,,MDT,K,WS,,,,10,12,,,,,221,,2.99,530, ,8.5,8.3,234,67.8,15.7,12.4,13.8,0.032,0.05,5,14.5,174,7,0.048,1.24,66.3,24.5,2.2,11,0.91,,6.3,,,,,,76,,,,,,9,5.4,,10,3044,,,522,,,,,,,,5222110,,,,,,,,,,1557,,
USGS,12324400,GR,3/23/2016,23,3,2016,11:20,,,MDT,K,WS,,,,5,8,,,,,274,,3.27,503, ,8.4,8.1,236,69.4,15.2,9.2,11.9,0.069,0.15,5.4,27.4,397,8,0.08,3.17,107,44.4,6.2,27,1,,7.8,,,,,,77,,,,,,20,15,,10,3044,,,503,,,,,30,30,,5328010,,,,,,,,,,1557,,
USGS,12324400,GR,4/19/2016,19,4,2016,14:50,,,MDT,K,WS,,,80,12,20,,,,,325,16,3.48,472, ,8.4,8.2,207,60.4,13.7,13.2,20.2,0.072,0.3,7.7,63.9,1050,12.4,0.168,8.2,160,22.3,4.6,54,1.06,,9.2,,0.5,,1001,,79,,,,3,5,44,39,2.4,10,3044,200,2,468,,,,,,,,40201,,30404,30390,,,20157,,20166,,10028,,
USGS,12324400,GR,5/10/2016,10,5,2016,16:50,,,MDT,K,WS,,,65,7.5,7,,,,,457,4,3.91,308,0.00001,8.3,8.1,143,43.2,8.63,12.4,20.2,0.05,0.33,8.8,74.5,1290,24.8,0.226,10.9,161,20.6,5.6,63,1.19,,13,0.2,,0.4,1001,,76,,,,3,5,53,65,3,20,3054,200,2,308,,,,,,,,40201,,30404,30402,,,20157,,20166,,10028,,
USGS,12324400,GR,5/24/2016,24,5,2016,15:30,,,MDT,K,WS,,,65,11,12,,,,,544,4,4.11,394, ,8.4,8.2,176,50.7,12,17.3,27.1,0.135,0.33,10.9,84.9,1320,21,0.273,11.2,147,21.6,6,67,1.25,,15,0.2,,0.5,1001,,69,,,,3,5,60,88,3.2,20,3054,200,2,390,,,,,,,,40201,,30404,30402,,,20157,,20166,,10028,,
USGS,12324400,GR,6/7/2016,7,6,2016,14:05,,,MDT,K,WS,,,80,19,28,,,,,429,16,3.92,316, ,8.5,8.3,141,41.5,9.16,19.2,23.5,0.046,0.18,10.5,41.8,555,,0.19,4.83,81,19.5,2.7,30,1.19,,12,,0.4,,1001,,84,,,,3,5,21,24,3.1,10,3044,200,2,311,,,,,,,,40201,,30404,30402,,,20157,,20166,,10028,,
USGS,12324400,GR,7/12/2016,12,7,2016,14:40,,,MDT,K,WS,,,75,16,21,,,,,189,15,3.23,443, ,8.6,8.5,212,62.1,13.9,15.3,15.7,0.044,0.05,7.9,12.9,103,11.1,0.082,0.79,28.8,9.22,2,8,0.98,,5.4,,0.5,,1001,,82,,,,3,5,3,1.5,1.8,10,3044,200,2,439,,,,,,,,40201,,30440,30402,,,20157,,20184,,10028,,
USGS,12324400,GR,8/9/2016,9,8,2016,15:00,,,MDT,K,WS,,,30,18,23,,,,,66,15,2.51,482, ,8.6,8.6,216,60.4,15.8,15.3,17.8,0.03,0.03,7.4,9.7,21.5,7.7,0.044,0.15,10.3,4.68,2,3,0.77,,1.9,,0.2,,1001,,59,,,,3,5,3,0.53,1,10,3044,200,2,480,,,,,,,,40201,,30440,30458,30444,,20157,,20184,,10040,,
USGS,12324400,GR,10/18/2016,18,10,2016,14:40,,,MDT,K,WS,,,70,8,11,,,,,226,18,3.3,496, ,8.7,8.5,227,65.8,15.2,12.9,13.7,0.05,0.08,5.8,13.8,175,5.6,0.06,1.35,81.9,28,2.6,11,1.01,,6.4,,0.4,,1001,,88,,,,3,5,6,3.7,1.8,10,3044,200,2,502,,,,,,,,40218,,30452,30458,,,20157,,20184,,10040,,
USGS,12324400,GR,3/21/2017,21,3,2017,13:40,,,MDT,K,WS,,,80,6,10,,,,,370,16,3.62,435, ,8.4,8,197,58.2,12.5,10.9,19,0.054,0.34,8.5,71.2,1150,20.5,0.17,9.98,170,34.7,6.6,61,1.1,,10,,0.5,,1001,,73,,,,3,5,51,51,2.5,10,3044,200,2,431,,,,,30,30,,40218,,,,,,20237,,20184,,10036,,
USGS,12324400,GR,4/18/2017,18,4,2017,14:40,,,MDT,K,WS,,,75,9.5,15,,,,,280,15,3.33,471, ,8.8,8.3,204,59.3,13.6,11.8,15.6,0.048,0.18,7.4,34.5,450,14.5,0.104,3.9,94.8,29.4,3.3,27,1.01,,7.9,,0.4,,1001,,82,,,,3,5,20,15,2.4,10,3044,200,2,470,,,,,,,,40231,,,,,,20237,,20184,,10036,,
USGS,12324400,GR,5/9/2017,9,5,2017,15:05,,,MDT,K,WS,,,80,14,20,,,,,329,16,3.5,365, ,8.6,8.2,154,46.2,9.28,16.4,22.9,0.049,0.3,10.5,62.8,872,15.9,0.172,7.87,166,24,3,49,1.07,,9.3,,0.5,,1001,,88,,,,3,5,37,33,2.5,10,3044,200,2,361,,,,,,,,40231,,,30522,,,20237,,20184,,10036,,
USGS,12324400,GR,5/23/2017,23,5,2017,15:20,,,MDT,K,WS,,,80,17,25,,,,,387,16,3.69,409, ,8.5,8.2,171,50.1,11.2,20.8,28.1,0.076,0.32,12.1,75.5,962,16.5,0.22,8.18,141,25.5,6,58,1.12,,11,,0.5,,1001,,83,,,,3,5,38,40,2.7,10,3044,200,2,408,,,,,,,,40224,,30512,30522,,,20237,,20184,,10036,,
USGS,12324400,GR,6/13/2017,13,6,2017,16:40,,,MDT,K,WS,,,70,11,8,,,,,1640,4,6.12,360,0.00001,8,7.8,145,40.5,10.6,27.4,138,0.102,3.25,36.6,869,17300,105,0.955,132,1060,164,17.8,800,1.87,,46,0.6,,1.1,1001,,61,,,,3,5,836,3700,4.8,20,3054,200,2,362,,,,,,,,40224,,30512,30522,,,20237,,20184,,10044,,
USGS,12324400,GR,7/11/2017,11,7,2017,14:25,,,MDT,K,WS,,,80,20,24,,,,,205,16,3.11,394, ,8.4,8.3,173,51.3,11,19.6,20.4,0.082,0.14,11.5,23.6,224,17.2,0.132,2.4,58.5,29.9,8.4,18,0.95,,5.8,,0.4,,1001,,74,,,,3,5,8,4.4,1.8,10,3044,200,2,394,,,,,,,,40237,,30529,30522,,,20237,,20221,,10044,,
USGS,12324400,GR,8/15/2017,15,8,2017,17:00,,,MDT,K,WS,,,65,20,26,,,,,78,16,2.53,461, ,8.5,8.3,190,53.9,13.6,16.8,17.1,0.03,0.03,8.3,10.2,21.9,10,0.059,0.16,6.4,2.68,2,2,0.77,,2.2,,0.2,,1001,,89,,,,3,5,7,1.5,1,10,3044,200,2,449,,,,,,,,40237,,30529,30522,,,20237,,20210,,10044,,
USGS,12324400,GR,10/24/2017,24,10,2017,14:25,,,MDT,K,WS,,,75,6,13,,,,,249,19,1.33,478, ,8.7,8.4,221,64,14.8,10.6,12.5,0.045,0.11,5.4,16.1,150,10,0.062,1.2,54.1,24.1,2.6,13,0.41,,7.1,,0.4,,1001,,70,,,,3,5,6,4,1.1,10,3044,200,2,477,,,,,,,,40241,,30512,30522,,,20269,,20264,,10044,,
USGS,12324400,GR,3/27/2018,27,3,2018,16:20,,,MDT,K,WS,,,79,6,,,,,,474,10,3.76,483, ,8.4,8.1,206,60.4,13.5,9.8,19.7,0.075,0.35,9.5,75.2,1280,14.2,0.138,7.51,160,33.2,7.8,70,1.15,,13,,0.7,,1001,,54,,,,3,5,59,76,2.5,10,3044,200,2,484,,,,,30,,,40246,,30505,30551,,,20270,,20264,,10044,,
USGS,12324400,GR,4/17/2018,17,4,2018,16:40,,,MDT,K,WS,,,80,7,6,,,,,487,16,3.79,452, ,8.5,8.2,202,57.4,14.3,9.4,16.4,0.051,0.26,7.2,48.8,858,13.2,0.124,5.52,124,20.6,4.8,48,1.16,,14,,0.6,,1001,,51,,,,3,5,41,54,2.5,10,3044,200,2,464,,,,,,,,40246,,30569,30551,30541,,20291,,20276,,10044,,
USGS,12324400,GR,5/8/2018,8,5,2018,18:15,,,MDT,K,WS,,,67,14,22,,,,,1230,4,5.38,308,0.00001,8,8,128,38,8.15,18.6,54.6,0.097,1.04,19.9,309,4730,63,0.604,39.5,366,21.9,9.6,241,1.64,,35,0.6,,0.9,1001,,58,,,,3,5,270,897,3.8,20,3044,200,2,317,,,,,,,,40246,,30569,30551,30541,,20291,,20280,,10044,,
USGS,12324400,GR,5/22/2018,22,5,2018,17:40,,,MDT,K,WS,,,75,13.5,20,,,,,1540,4,5.9,276,0.00001,8.1,8.1,118,34.5,7.75,18.2,37.9,0.102,0.47,21.1,134,2190,62.7,0.46,18.1,137,17.8,12.7,113,1.8,,44,0.8,,1.3,1001,,55,,,,3,5,110,457,6,20,3054,200,2,280,,,,,,10,,40254,,30569,30551,30541,,20291,20286,20280,,10044,,
USGS,12324400,GR,6/6/2018,6,6,2018,9:45,,,MDT,K,WS,,,68,13,16,,,,,1650,4,5.86,263,0.00001,7.9,8.1,112,33.6,6.75,38,39,0.505,0.54,23.9,142,1920,51.7,14.8,15.7,158,167,95.4,105,1.79,,47,0.7,,1,1001,,54,,,,3,5,98,437,5,20,3054,10,2,268,,,,,,,,40254,,30576,30600,,,20291,20286,20280,,10044,,
USGS,12324400,GR,7/17/2018,17,7,2018,16:40,,,MDT,K,WS,,,75,18,25,,,,,440,15,3.68,359, ,8.4,8.2,163,47.4,10.9,19.6,22.7,0.076,0.14,11.4,25.2,237,12.8,0.113,1.92,44.9,18.8,4.3,16,1.12,,12,,0.7,,1001,,40,,,,3,5,18,21,2.5,10,3044,200,2,361,,,,,,,,40254,,30576,30645,30542,,20315,20286,20280,,10052,,
USGS,12324400,GR,8/14/2018,14,8,2018,17:30,,,MDT,K,WS,,,78,21,29,,,,,161,16,2.78,444, ,8.7,8.6,204,59.7,13.3,20.8,20.9,0.062,0.07,10.2,13.8,50,10,0.086,0.42,14.9,7.56,2.1,5,0.85,,4.6,,0.4,,1001,,77,,,,3,5,3,1.3,1.4,10,3044,200,2,450,,,,,,,,40254,,30511,30645,30635,,20315,20273,20280,,10055,,
USGS,12324400,GR,10/18/2018,18,10,2018,9:15,,,MDT,K,WS,,,130,4,0,,,,370,,26,3.54,447,0.00001,8.3,8.4,200,57.5,13.7,10.4,12.4,0.079,0.15,6.3,20,273,10,0.051,2.04,64.2,17.4,7.2,23,1.08,10,,,0.4,,1001,,50,10,,,3,5,14,,2.45,10,3044,200,2,456,0.0176,,,0.0088,,,,40267,,30576,30645,30635,,20291,,20280,,10055,,
USGS,12324400,GR,11/27/2018,27,11,2018,14:00,,,MST,K,WS,,,71,0.2,4,,,,358,,11,3.69,452, ,8.3,8.2,207,59.8,14,7.5,14.1,0.15,0.32,4.4,56.4,1050,10,0.1,7,146,22.1,10,62,1.12,10,,,0.7,,1001,,70,10,,,3,5,43,,,10,3044,200,2,452,0.0502,,,0.0149,,1,,40267,,,30645,,,20318,,20350,,10055,,
USGS,12324400,GR,11/27/2018,27,11,2018,14:30,,,MST,K,WS,,,,0.2,4,,,,358,,,3.69,452,,,,,,,,,,,,,,,,,,,,,1.12,10,,,,,1001,,70,10,,,,,42,,,10,3044,,,,0.0466,,,0.0139,,,,,,,,,,,,,,,,
